#Condition A: pooled_N2_run2/IRFinder-IR-dir.txt
#Condition B: pooled_TFIIS_I_run2/IRFinder-IR-dir.txt
Chr	Start	End	Intron-GeneName/GeneID	-	Direction	ExcludedBases	p-diff	p-increased	p-decreased	A-IRratio	A-IRok	A-IntronCover	A-IntronDepth	A-SplicesMax	A-SplicesExact	B-IRratio	B-IRok	B-IntronCover	B-IntronDepth	B-SplicesMax	B-SplicesExact
III	12427177	12427230	pie-1/WBGene00004027/clean	0	+	10	0.300053	0.300053	0.699947	0.0707815	-	1	127.895	1679	1678	0.0771623	NonUniformIntronCover	1	33.9474	406	406
II	5080564	5080627	dsh-2/WBGene00001102/clean	0	-	10	0.300306	0.699694	0.300306	0.0340909	NonUniformIntronCover	1	6	170	170	0	-	0	0	33	33
V	10132876	10132978	wdr-20/WBGene00007428/clean	0	-	10	0.300659	0.699341	0.300659	0.0301232	NonUniformIntronCover	1	5.34211	172	172	0.0174531	-	0.586957	1.42105	80	80
V	12343262	12343325	tomm-20/WBGene00009092/clean	0	-	10	0.301068	0.698932	0.301068	0.0375	NonUniformIntronCover	1	3	77	77	0	-	0	0	28	28
IV	1981464	1981516	Y76B12C.6/WBGene00022300/clean	0	+	10	0.301573	0.698427	0.301573	0.0274977	NonUniformIntronCover	1	90	3183	3183	0.0240964	-	1	31.5556	1278	1278
II	2850881	2851404	ptc-3/WBGene00004210/clean	0	-	10	0.301706	0.698294	0.301706	0.0136113	-	0.524366	0.758454	37	37	0.0204125	NonUniformIntronCover	0.460039	1.39614	63	63
II	6447746	6448182	nhr-22/WBGene00003621/clean	0	-	10	0.302005	0.302005	0.697995	0.00476591	-	0.239437	0	50	50	0.0184516	NonUniformIntronCover	0.525822	1.12791	60	60
I	3825068	3825121	unc-108/WBGene00006833/clean	0	+	10	0.302685	0.697315	0.302685	0.117662	-	1	49.4737	371	371	0.104469	NonUniformIntronCover	1	49.5789	425	425
IV	13096700	13096761	rfc-3/WBGene00004339/clean	0	+	10	0.303138	0.303138	0.696862	0.0104167	-	1	1	95	95	0.00205973	-	0.0392157	0	19	19
I	1823963	1824018	chaf-2/WBGene00022141/clean	0	+	10	0.303423	0.696577	0.303423	0.056338	-	1	12	201	201	0.0406504	NonUniformIntronCover	0.933333	5	118	118
III	5002098	5002149	R144.10/WBGene00020098/clean	0	-	10	0.30365	0.30365	0.69635	0.15417	-	1	12.9412	71	71	0.188235	NonUniformIntronCover	1	16	69	69
III	194551	195291	F40G9.17/WBGene00185078/clean	0	+	10	0.304115	0.695885	0.304115	0.0968288	NonUniformIntronCover	0.694521	10.1849	95	95	0.0296854	-	0.367123	0.167808	12	12
IV	383051	383105	spl-1/WBGene00004981/clean	0	-	10	0.304968	0.304968	0.695032	0	-	0	0	11	11	0.104348	NonUniformIntronCover	1	12	84	84
I	2736271	2737440	lron-11/WBGene00022129/clean	0	-	10	0.305459	0.694541	0.305459	0.0588274	NonUniformIntronCover	0.431406	1.93763	31	31	0.0105117	-	0.169974	0	16	16
IV	3292392	3292448	W08E12.8/WBGene00021089/clean	0	+	11	0.306206	0.693794	0.306206	0.764706	-	1	13	4	4	0.655589	-	1	22.8421	12	12
IV	12282084	12282135	C42C1.12/WBGene00016590/clean	0	-	10	0.307678	0.307678	0.692322	0.538462	-	1	7	6	6	0.703704	-	1	38	16	16
IV	11296467	11296782	mttu-1/WBGene00007114/clean	0	-	10	0.30771	0.69229	0.30771	0.113399	NonUniformIntronCover	0.685246	7.1626	56	56	0.0320533	-	0.331148	0.0813008	10	10
III	4097259	4097315	C03C10.4/WBGene00007270/clean	0	-	10	0.307899	0.692101	0.307899	0.0152672	-	1	2	128	128	0	-	0	0	63	63
V	6691696	6691816	mtl-1/WBGene00003473/clean	0	-	10	0.308268	0.691732	0.308268	0	-	0	0	12	12	0.0294027	NonUniformIntronCover	0.6	23.75	784	758
I	8216387	8216462	gla-3/WBGene00011376/clean	0	+	10	0.308471	0.308471	0.691529	0.0310559	-	0.384615	0.333333	12	12	0.0960699	NonUniformIntronCover	0.384615	2.44444	23	23
V	1864508	1866900	T10B5.3/WBGene00020389/clean	0	-	10	0.308642	0.308642	0.691358	0.00982073	-	0.15869	0	16	16	0.0502489	NonUniformIntronCover	0.38623	1.00524	19	19
V	3710118	3712352	lin-40/WBGene00003025/clean	0	+	337	0.308642	0.691358	0.308642	0.0754372	NonUniformIntronCover	0.412757	1.14229	13	13	0.0121935	-	0.148129	0	12	12
V	14352541	14352822	vha-13/WBGene00013025/clean	0	+	10	0.30907	0.69093	0.30907	0.0313211	NonUniformIntronCover	0.416974	2.65138	82	82	0.000254421	-	0.00738007	0	29	29
III	10572920	10573282	Y45F3A.4/WBGene00012861/clean	0	-	10	0.309187	0.309187	0.690813	0	-	0	0	101	101	0.0112938	NonUniformIntronCover	0.772727	8.19014	717	717
II	8674171	8674224	hgap-2/WBGene00008430/clean	0	-	10	0.309561	0.690439	0.309561	0.0869565	-	1	2	21	21	0	-	0	0	11	11
I	10296120	10296501	wts-1/WBGene00007047/clean	0	-	10	0.309733	0.309733	0.690267	0.00437853	-	0.334232	0.14094	76	74	0.0111595	-	0.536388	1.77181	151	142
II	9524871	9524924	mex-6/WBGene00003231/clean	0	+	10	0.310201	0.689799	0.310201	0.0145228	NonUniformIntronCover	0.44186	3.68421	250	250	0	-	0	0	67	67
X	11007742	11007805	del-5/WBGene00010334/clean	0	-	10	0.310246	0.689754	0.310246	0.666667	-	1	12	6	6	0.575	-	1	23	17	17
II	6363909	6364075	ani-2/WBGene00019608/clean	0	-	10	0.31031	0.68969	0.31031	0.103185	NonUniformIntronCover	0.641026	10.125	88	88	0	-	0	0	11	11
X	16925783	16925837	C30E1.4/WBGene00016253/clean	0	+	10	0.310523	0.310523	0.689477	0.705882	-	1	12	5	5	0.853717	NonUniformIntronCover	1	595.278	102	102
II	7856848	7856989	cec-3/WBGene00011636/clean	0	-	10	0.310617	0.689383	0.310617	0.0217039	NonUniformIntronCover	0.969466	4.03774	181	181	0.00634675	-	0.312977	0.0377358	49	49
X	4150026	4150095	nck-1/WBGene00006410/clean	0	-	13	0.310669	0.310669	0.689331	0	NonUniformIntronCover	0	0	54	54	0.0147059	-	0.803571	1	67	67
I	5430511	5430577	F27C1.2/WBGene00017852/clean	0	+	10	0.311837	0.688163	0.311837	0.0515829	-	1	19.4167	357	357	0.0388889	-	1	7	173	173
I	9002235	9002390	syx-7/WBGene00009478/clean	0	-	10	0.311888	0.311888	0.688112	0	-	0	0	28	28	0.0380435	NonUniformIntronCover	0.331034	2.25424	57	57
V	13729999	13730149	dct-17/WBGene00009431/clean	0	-	10	0.312392	0.687608	0.312392	0	-	0	0	22	22	0.0160927	NonUniformIntronCover	0.728571	7.39286	452	452
V	4687627	4687683	taf-10/WBGene00006392/clean	0	+	10	0.312407	0.687593	0.312407	0.0160668	-	1	19.35	1175	1175	0.01241	-	1	7.15	569	569
X	7399217	7400020	C10A4.10/WBGene00050957/clean	0	+	10	0.3125	0.3125	0.6875	0.0632341	NonUniformIntronCover	0.619168	1.01254	15	15	0.105548	-	0.373266	1.65204	14	14
V	8584173	8584317	C10B5.3/WBGene00015671/clean	0	-	10	0.313068	0.686932	0.313068	0.145251	NonUniformIntronCover	0.686567	5.77778	34	34	0.046748	-	0.686567	0.962963	14	14
V	5029744	5029800	swt-7/WBGene00019645/clean	0	-	10	0.313491	0.313491	0.686509	0.0139535	-	1	3	211	211	0.021164	-	1	8	370	370
IV	2389759	2389832	trap-3/WBGene00021420/clean	0	+	10	0.31356	0.31356	0.68644	0.0346712	-	1	46.2963	1289	1289	0.0390012	NonUniformIntronCover	1	18.2222	449	449
III	1813102	1814396	clp-4/WBGene00000545/clean	0	-	10	0.3136	0.3136	0.6864	0.000141583	-	0.0046729	0	33	33	0.0267849	NonUniformIntronCover	0.464953	1.1284	40	40
I	5807787	5808039	lin-35/WBGene00003020/clean	0	+	10	0.313651	0.686349	0.313651	0.279286	-	1	65.4898	169	169	0.229797	NonUniformIntronCover	1	13.7245	46	46
V	5685223	5685279	F25B4.4/WBGene00017767/clean	0	+	10	0.313864	0.686136	0.313864	0.0217391	-	1	5	225	225	0	-	0	0	49	49
I	3784109	3784160	C32E8.4/WBGene00016322/clean	0	+	10	0.314641	0.314641	0.685359	0.037037	-	1	3	78	78	0.0572082	-	1	25	412	412
II	14075186	14077578	xrn-1/WBGene00012730/clean	0	+	444	0.315614	0.684386	0.315614	0.0608067	NonUniformIntronCover	0.48152	1.94231	30	30	0.00615625	-	0.0929158	0	15	15
I	3163022	3163083	mrpl-17/WBGene00021829/clean	0	+	10	0.316049	0.316049	0.683951	0.292487	NonUniformIntronCover	1	46.7143	113	113	0.323671	-	1	28.7143	60	60
III	4915490	4915692	rars-1/WBGene00004679/clean	0	-	10	0.316049	0.316049	0.683951	0.0918047	NonUniformIntronCover	0.6875	7.88462	78	78	0.047619	-	0.5	0.5	10	10
I	7044682	7045067	sem-4/WBGene00004773/clean	0	+	10	0.316198	0.683802	0.316198	0	-	0	0	18	18	0.013906	-	0.661333	1.19868	85	85
I	8337721	8337774	C34B7.2/WBGene00007912/clean	0	+	10	0.316406	0.683594	0.316406	0.012512	NonUniformIntronCover	1	2.73684	216	216	0	-	0	0	73	73
IV	2766084	2766391	Y54G2A.11/WBGene00021876/clean	0	-	10	0.316406	0.683594	0.316406	0.0804894	NonUniformIntronCover	0.43771	3.15126	36	36	0	-	0	0	13	13
V	4095292	4095362	nhr-181/WBGene00018189/clean	0	+	10	0.316406	0.683594	0.316406	0.0469314	NonUniformIntronCover	0.516667	3.25	66	66	0	-	0	0	23	23
X	9966077	9966707	pssy-1/WBGene00013920/clean	0	+	10	0.316406	0.683594	0.316406	0.0153823	NonUniformIntronCover	0.467742	3.23387	207	207	0	-	0	0	70	70
X	11307751	11307970	vhl-1/WBGene00006922/clean	0	+	10	0.316598	0.683402	0.316598	0.110134	NonUniformIntronCover	0.578947	6.18824	50	50	0	-	0	0	10	10
X	17027734	17027921	ptrn-1/WBGene00004121/clean	0	-	10	0.316876	0.683124	0.316876	0.145036	NonUniformIntronCover	0.418079	7.6338	45	45	0.0666667	-	0.717514	1	14	14
X	5641043	5641104	T22B7.4/WBGene00020673/clean	0	-	10	0.317587	0.682413	0.317587	0.039501	NonUniformIntronCover	0.666667	8.14286	198	198	0	-	0	0	28	28
I	5657145	5657196	tag-345/WBGene00018893/clean	0	-	10	0.318133	0.681867	0.318133	0.0145321	NonUniformIntronCover	0.609756	5.35294	363	363	0.00819672	-	1	2	242	242
IV	2025913	2027470	cpsf-1/WBGene00022301/clean	0	-	10	0.318212	0.681788	0.318212	0.0596108	NonUniformIntronCover	0.395604	1.33118	21	21	0	-	0	0	17	17
IV	8832410	8832554	T28C6.7/WBGene00012121/clean	0	+	10	0.318488	0.681512	0.318488	0.0586814	NonUniformIntronCover	0.552239	6.2963	101	101	0	-	0	0	19	19
V	14093616	14093750	D1086.3/WBGene00008390/clean	0	+	10	0.318509	0.318509	0.681491	0	-	0	0	24	24	0.0446826	NonUniformIntronCover	0.701613	8.84	189	189
IV	14052831	14052983	Y37A1B.5/WBGene00012538/clean	0	+	41	0.319007	0.680993	0.319007	0.0487421	NonUniformIntronCover	0.630631	6.2	121	121	0.0129519	-	0.603604	0.755556	46	46
X	11263136	11263446	C03A3.2/WBGene00007267/clean	0	+	10	0.319016	0.319016	0.680984	0	-	0	0	47	47	0.0177353	-	0.333333	1.08333	60	60
III	6728923	6728975	Y102E9.5/WBGene00044452/clean	0	-	10	0.319231	0.319231	0.680769	0.0851064	-	1	4	43	43	0.0909091	-	1	1	10	10
III	4868967	4869276	C35D10.3/WBGene00016441/clean	0	+	10	0.319353	0.680647	0.319353	0	-	0	0	20	20	0.016421	NonUniformIntronCover	0.468227	5.80992	348	348
II	5713355	5713433	tiar-1/WBGene00015943/clean	0	-	10	0.319555	0.680445	0.319555	0.0298507	-	1	2	65	65	0	-	0	0	31	31
I	3276718	3276780	pqn-72/WBGene00004154/clean	0	-	10	0.320347	0.679653	0.320347	0.0833333	-	1	9	99	99	0.071551	NonUniformIntronCover	1	15.1818	197	197
III	8777359	8777425	snap-29/WBGene00019305/clean	0	+	10	0.320757	0.679243	0.320757	0.0185874	-	0.964286	2.91667	154	154	0.00987092	-	0.821429	1.625	163	163
III	4628493	4628555	clec-151/WBGene00008659/clean	0	+	10	0.321144	0.321144	0.678856	0.166667	-	1	7	35	35	0.214844	-	1	110	402	379
I	6940789	6940986	T10B11.5/WBGene00020401/clean	0	-	10	0.321572	0.678428	0.321572	0.113009	NonUniformIntronCover	0.951872	4.58667	36	36	0.0657698	-	0.534759	1.76	25	25
I	81963	82015	Y48G1C.10/WBGene00021683/clean	0	+	10	0.321747	0.678253	0.321747	0.0650407	NonUniformIntronCover	0.761905	8	115	115	0.0434783	-	1	3	66	66
I	5615129	5615267	trpp-8/WBGene00018512/clean	0	-	10	0.321787	0.678213	0.321787	0.0684932	NonUniformIntronCover	1	3.75	51	51	0	-	0	0	14	14
III	296845	297271	ads-1/WBGene00000081/clean	0	-	10	0.321973	0.321973	0.678027	0.00285356	-	0.240385	0	84	84	0.0123104	-	0.586538	2.25595	181	181
II	11778647	11778712	dna-2/WBGene00001016/clean	0	+	10	0.322027	0.677973	0.322027	0.193955	-	1	45.4783	189	189	0.159513	-	1	11.9565	63	63
V	3913853	3913906	srx-68/WBGene00005959/clean	0	+	10	0.322111	0.322111	0.677889	0.609589	-	1	9.36842	6	6	0.744926	-	1	370.895	124	124
IV	2230962	2231415	T04C4.1/WBGene00020208/clean	0	+	10	0.322133	0.322133	0.677867	0	-	0	0	16	16	0.0608604	NonUniformIntronCover	0.363431	1.29609	20	20
II	8412966	8413240	efl-3/WBGene00009899/clean	0	+	10	0.322493	0.322493	0.677507	0.0178755	-	0.609848	1.80189	99	99	0.0340413	NonUniformIntronCover	0.893939	4.26415	110	110
X	14706607	14706740	F40E10.6/WBGene00009574/clean	0	-	10	0.3227	0.3227	0.6773	0.0712118	NonUniformIntronCover	0.666667	23.9216	312	312	0.0808612	-	0.723577	29.8235	339	339
IV	7924524	7924576	C49H3.3/WBGene00016790/clean	0	+	10	0.32286	0.32286	0.67714	0.0821702	-	1	40.5556	453	453	0.0934488	-	1	26.3889	256	256
II	8276500	8276553	K01C8.7/WBGene00010459/clean	0	+	10	0.322886	0.322886	0.677114	0.287879	-	1	19	47	47	0.333333	-	1	17	34	34
I	4629512	4629945	C44E4.1/WBGene00016650/clean	0	-	10	0.322947	0.677053	0.322947	0.0555889	NonUniformIntronCover	0.382979	2.7076	46	46	0.00965759	-	0.156028	0	16	16
II	7075214	7075288	kat-1/WBGene00002183/clean	0	+	10	0.323117	0.676883	0.323117	0.384615	-	1	30	48	48	0.166667	LowCover	1	1	5	5
II	2418503	2418571	F42G2.7/WBGene00044362/clean	0	+	10	0.323747	0.676253	0.323747	0.0526316	-	1	1	18	18	0.0596252	-	1	29.1667	460	460
III	9854400	9854931	gpdh-2/WBGene00010778/clean	0	-	10	0.324152	0.675848	0.324152	0.0137885	NonUniformIntronCover	0.328215	1.07656	77	77	0	-	0	0	59	58
V	6493614	6493828	cpt-6/WBGene00020911/clean	0	-	10	0.324306	0.675694	0.324306	0.0286371	NonUniformIntronCover	0.5	6.07317	206	206	0	-	0	0	37	37
III	470407	471011	magu-1/WBGene00021914/clean	0	-	10	0.324442	0.675558	0.324442	0.064684	NonUniformIntronCover	0.723906	2.55882	37	37	0.0127845	-	0.16835	0	13	13
II	10927221	10927362	metr-1/WBGene00010988/clean	0	+	10	0.324495	0.675505	0.324495	0.0820769	-	1	44.8868	483	483	0.0652557	NonUniformIntronCover	0.824427	6.28302	90	90
X	16127361	16127562	ZK1073.1/WBGene00014213/clean	0	-	10	0.324663	0.324663	0.675337	0.0262221	-	1	13.1948	490	490	0.0294376	NonUniformIntronCover	0.832461	9.58442	316	316
I	7095619	7095676	ekl-1/WBGene00009052/clean	0	+	10	0.324693	0.324693	0.675307	0.125	NonUniformIntronCover	1	20	140	140	0.144	-	1	18	107	107
X	5842740	5842821	puf-9/WBGene00004245/clean	0	+	10	0.324951	0.675049	0.324951	0.0447483	NonUniformIntronCover	0.774648	2.48276	53	53	0	-	0	0	25	25
I	8689376	8690074	K07A12.4/WBGene00010622/clean	0	-	10	0.325255	0.325255	0.674745	0.0228167	-	0.559593	1.05072	45	45	0.0278367	-	0.286337	0	10	10
V	9987550	9987645	C27H6.8/WBGene00007787/clean	0	-	10	0.325287	0.674713	0.325287	0.0220386	NonUniformIntronCover	0.482353	3.2	142	142	0	-	0	0	47	47
I	9225504	9225568	aspm-1/WBGene00008107/clean	0	-	10	0.325478	0.674522	0.325478	0.0422535	NonUniformIntronCover	1	3	68	68	0	-	0	0	23	23
I	5946524	5946779	B0207.7/WBGene00015030/clean	0	-	10	0.325886	0.325886	0.674114	0	-	0	0	11	11	0.0808625	NonUniformIntronCover	0.706122	2.72727	31	31
II	12893496	12893553	clec-62/WBGene00009393/clean	0	-	10	0.325888	0.325888	0.674112	0.0322581	-	1	1	30	30	0.0731707	NonUniformIntronCover	1	15	190	190
II	4424772	4424824	ZK430.7/WBGene00022742/clean	0	-	10	0.326406	0.673594	0.326406	0.047619	-	1	2	40	40	0	NonUniformIntronCover	0	0	19	19
II	10628843	10628963	M28.8/WBGene00010899/clean	0	+	10	0.326884	0.326884	0.673116	0.0108696	-	0.763636	1	91	91	0.0229885	NonUniformIntronCover	0.763636	4	170	170
X	14118560	14118612	F28H6.6/WBGene00009234/clean	0	-	10	0.328258	0.671742	0.328258	0.214286	-	1	3	11	11	0.204082	NonUniformIntronCover	1	90	351	351
V	17091348	17091422	srh-237/WBGene00005444/clean	0	+	10	0.328665	0.328665	0.671335	0.105111	NonUniformIntronCover	1	19.6154	167	167	0.0877193	-	0.78125	1.53846	16	16
IV	13401992	13402043	cyp-31A5/WBGene00013381/clean	0	+	10	0.328777	0.671223	0.328777	0.0229008	-	1	3	128	128	0	-	0	0	42	42
II	284780	284942	B0432.10/WBGene00015191/clean	0	-	10	0.32919	0.67081	0.32919	0.0771775	NonUniformIntronCover	0.388158	2.25806	27	27	0	-	0	0	13	13
I	3583541	3583594	Y47G6A.29/WBGene00021652/clean	0	-	10	0.329385	0.670615	0.329385	0.0294892	-	1	2.94737	97	97	0	-	0	0	32	32
IV	10218670	10218721	qns-1/WBGene00007698/clean	0	-	10	0.329544	0.670456	0.329544	0.0108225	-	1	20	1828	1828	0.00829876	-	1	6	717	717
II	5113330	5113527	F09C12.8/WBGene00017279/clean	0	+	10	0.32999	0.67001	0.32999	0.113009	-	0.566845	1.14667	9	9	0.108558	NonUniformIntronCover	0.566845	7.30667	60	60
II	6559894	6560399	F18C5.10/WBGene00017563/clean	0	-	10	0.330272	0.330272	0.669728	0.00760565	-	0.482828	0.603015	63	63	0.02995	NonUniformIntronCover	0.377778	3.64322	118	118
II	12735446	12735564	snrp-200/WBGene00012896/clean	0	-	10	0.330916	0.669084	0.330916	0.0191083	NonUniformIntronCover	0.833333	3	154	154	0	-	0	0	50	50
II	1437394	1437446	nol-6/WBGene00021789/clean	0	-	10	0.331723	0.668277	0.331723	0.0124058	-	1	28	2229	2229	0.0106738	-	1	16	1483	1483
V	12193793	12193948	rnp-1/WBGene00004384/known-exon	0	+	10	0.332613	0.332613	0.667387	0.0313909	NonUniformIntronCover	0.696552	2.94915	91	91	0.00275103	-	0.0275862	0	10	10
I	7522370	7522670	goa-1/WBGene00001648/clean	0	+	10	0.332798	0.332798	0.667202	0.0132107	-	0.851724	10.8707	812	812	0.0166158	NonUniformIntronCover	0.606897	6.33621	375	375
IV	12557828	12557986	ZK795.2/WBGene00014082/clean	0	-	10	0.332862	0.667138	0.332862	0.0336514	-	0.452703	0.383333	13	13	0.0254707	NonUniformIntronCover	0.452703	2.3	88	88
IV	17258722	17258996	ZK550.5/WBGene00013999/clean	0	-	10	0.333256	0.666744	0.333256	0.0017452	-	0.0227273	0	13	13	0.026783	NonUniformIntronCover	0.549242	4.98113	181	181
III	4913129	4913180	cee-1/WBGene00017825/clean	0	+	10	0.333417	0.333417	0.666583	0.0272873	-	1	17	606	606	0.0313833	NonUniformIntronCover	1	6.05882	187	187
III	9947571	9947630	K03H1.7/WBGene00010542/clean	0	+	10	0.33349	0.66651	0.33349	0.0639193	NonUniformIntronCover	0.673469	3.61905	53	53	0	-	0	0	14	14
II	13280307	13281096	ztf-22/WBGene00012988/clean	0	-	10	0.334078	0.665922	0.334078	0.0551835	NonUniformIntronCover	0.640565	1.86901	32	32	0.0165797	-	0.252888	0	15	15
III	247051	248903	hpo-29/WBGene00021754/clean	0	+	230	0.334114	0.334114	0.665886	0.0168487	NonUniformIntronCover	0.522195	2.09077	122	122	0.00666848	-	0.120838	0	18	18
X	7437125	7437217	C01C10.2/WBGene00015294/clean	0	-	10	0.335321	0.335321	0.664679	0	-	0	0	29	29	0.030303	NonUniformIntronCover	1	2	64	64
V	10104417	10104469	ugt-17/WBGene00007422/clean	0	-	10	0.335472	0.664528	0.335472	0.647463	-	1	314.056	171	171	0.589286	-	1	33	23	23
III	8368007	8368608	R05D3.9/WBGene00019882/clean	0	-	10	0.33558	0.33558	0.66442	0.00940497	-	0.170897	0	18	18	0.0439595	MinorIsoform	0.489002	1.79325	39	16
III	13745036	13745090	tyr-2/WBGene00010661/clean	0	+	10	0.335837	0.664163	0.335837	0.0452675	-	1	5.5	116	116	0.0425532	NonUniformIntronCover	1	9.33333	210	210
IV	8106051	8106140	rabs-5/WBGene00021538/clean	0	-	10	0.336648	0.663352	0.336648	0.0598291	NonUniformIntronCover	0.405063	1.90909	30	30	0	-	0	0	14	14
X	534500	534554	F28C10.3/WBGene00017898/clean	0	-	10	0.336939	0.336939	0.663061	0.0175439	-	1	1	56	56	0	-	0	0	13	13
II	9747409	9747544	nos-3/WBGene00003785/clean	0	+	10	0.337851	0.337851	0.662149	0.0120482	-	0.792	1	82	82	0	-	0	0	19	19
IV	6322110	6322166	Y73B6BL.29/WBGene00022250/clean	0	+	10	0.338675	0.661325	0.338675	0.454545	-	1	5	6	6	0.404762	-	1	17	25	25
V	3588167	3588641	T22F3.2/WBGene00020695/clean	0	+	92	0.338722	0.661278	0.338722	0.0586797	NonUniformIntronCover	0.531414	7.79221	125	125	0.0151653	-	0.26178	0	17	17
IV	12598272	12599057	pgp-1/WBGene00003995/clean	0	-	10	0.339396	0.660604	0.339396	0.0369082	-	0.383226	0.209003	10	10	0.0390748	NonUniformIntronCover	0.708387	7.36013	181	181
I	3952269	3952336	lrp-2/WBGene00003072/clean	0	-	10	0.339525	0.339525	0.660475	0.0178571	-	1	1	55	55	0.0277778	-	1	1	35	35
V	16406066	16406121	syp-1/WBGene00006375/clean	0	+	10	0.339855	0.339855	0.660145	0.0484433	-	1	49.7895	978	978	0.0530786	-	1	25	446	446
I	12665502	12666078	T26E3.4/WBGene00012037/clean	0	+	10	0.33996	0.66004	0.33996	0.0228571	NonUniformIntronCover	0.570671	3.50877	150	150	0.00623523	-	0.489399	0.881579	78	78
III	8478997	8479098	F42H10.6/WBGene00018370/clean	0	-	10	0.340101	0.659899	0.340101	0.0130887	NonUniformIntronCover	0.428571	3.56757	269	269	0.00307377	-	0.428571	0.648649	139	139
I	1283992	1284143	Y48G8AR.2/WBGene00021693/clean	0	+	10	0.340278	0.340278	0.659722	0	-	0	0	10	10	0.0996355	-	0.588652	1.4386	13	13
V	12743382	12743830	asp-10/WBGene00007605/clean	0	+	10	0.340854	0.340854	0.659146	0.0224993	NonUniformIntronCover	0.545662	2.25568	98	98	0.0129171	-	0.53653	0.590909	41	41
I	14949124	14949179	kin-1/WBGene00002189/clean	0	+	10	0.341196	0.341196	0.658804	0.145698	NonUniformIntronCover	1	17.7368	104	104	0.168675	-	1	28	138	138
I	13855023	13855075	W04A8.6/WBGene00012241/clean	0	+	10	0.341623	0.658377	0.341623	0.0121951	NonUniformIntronCover	0.595238	2.88889	234	234	0	-	0	0	73	73
V	3504133	3504189	ugt-64/WBGene00015577/clean	0	-	10	0.342115	0.657885	0.342115	0.0322581	-	1	1	30	30	0	-	0	0	22	22
V	10769825	10769878	D1054.1/WBGene00008370/clean	0	-	10	0.342603	0.657397	0.342603	0.0862355	-	1	10.9474	116	116	0.0707965	NonUniformIntronCover	1	8	105	105
I	7022446	7022500	ubql-1/WBGene00008852/known-exon	0	+	10	0.342637	0.657363	0.342637	0.965933	-	1	311.889	11	11	0.938506	-	1	473.111	31	31
II	10342156	10342950	pro-2/WBGene00007413/clean	0	-	10	0.343	0.657	0.343	0.0654762	-	0.649235	1.82166	26	26	0.010101	-	0.122449	0	12	12
V	14196419	14196552	atfs-1/WBGene00013878/clean	0	+	10	0.343295	0.343295	0.656705	0.05	-	0.804878	1	19	19	0.0769231	LowCover	0.731707	1	7	7
V	4761051	4761273	C18G1.3/WBGene00015982/clean	0	+	10	0.343397	0.656603	0.343397	0.011655	-	0.471698	0.860465	40	35	0.0259597	NonUniformIntronCover	0.471698	6.02326	226	226
III	429665	429720	cec-8/WBGene00021913/clean	0	+	10	0.34376	0.65624	0.34376	0.0485437	NonUniformIntronCover	0.955556	10	196	196	0	-	0	0	21	21
X	1587622	1587705	wrt-9/WBGene00006955/clean	0	+	10	0.344206	0.344206	0.655794	0	-	0	0	11	10	0.0833333	NonUniformIntronCover	1	3	33	33
X	1146945	1147405	R193.2/WBGene00020128/clean	0	-	10	0.344259	0.655741	0.344259	0.01193	NonUniformIntronCover	0.802222	9.96111	825	825	0.00260756	-	0.222222	0	85	85
II	9106832	9107066	dyrb-1/WBGene00012004/clean	0	-	10	0.344376	0.655624	0.344376	0.0282503	NonUniformIntronCover	0.40625	2.12222	73	73	0	-	0	0	32	32
I	8089484	8089591	rme-8/WBGene00004378/clean	0	+	10	0.344518	0.655482	0.344518	0.0279456	-	0.680412	1.89744	66	66	0	-	0	0	29	29
V	942456	942514	Y50D4C.3/WBGene00021748/clean	0	-	10	0.344518	0.655482	0.344518	0.037037	MinorIsoform	1	1	19	19	0	-	0	0	19	19
IV	11254058	11254313	C05C12.1/WBGene00007335/clean	0	+	10	0.344671	0.655329	0.344671	0	-	0	0	20	20	0.0163236	-	0.485714	1.39394	84	84
II	11345452	11345532	B0491.5/WBGene00007192/clean	0	-	10	0.344764	0.344764	0.655236	0.490196	-	1	50	52	52	0.533333	NonUniformIntronCover	1	24	21	21
II	913746	914045	fbxc-33/WBGene00019924/clean	0	+	10	0.345205	0.345205	0.654795	0.0369641	NonUniformIntronCover	0.550173	6.25641	163	163	0.0341588	-	0.33218	1.02564	29	29
II	148283	148335	T25D3.4/WBGene00020798/clean	0	+	10	0.345281	0.345281	0.654719	0.0276074	NonUniformIntronCover	1	9	317	317	0.0326087	-	1	6	178	178
IV	8692382	8692497	dic-1/WBGene00000994/clean	0	+	10	0.345308	0.345308	0.654692	0.0120058	NonUniformIntronCover	0.657143	2.69767	222	222	0.0190736	-	1	7	360	360
I	6366647	6366702	K04F10.7/WBGene00019399/clean	0	+	10	0.345494	0.654506	0.345494	0.220339	-	1	91	322	322	0.196429	NonUniformIntronCover	1	22	90	90
I	10034598	10034668	ncs-2/WBGene00003564/clean	0	-	10	0.345542	0.654458	0.345542	0.0465116	-	1	6	123	123	0.0409357	-	1	14	328	328
III	12314150	12314238	Y75B8A.39/WBGene00023483/clean	0	+	10	0.345902	0.654098	0.345902	0.0769231	-	0.961538	1	12	12	0.0857143	NonUniformIntronCover	0.961538	9	96	96
II	7158354	7158419	C27H5.2/WBGene00016172/clean	0	+	10	0.346011	0.653989	0.346011	0	-	0	0	22	22	0.0107527	-	0.890909	1	92	92
